word,dlt_stor
If,1
you,1
were,2
to,2
journey,2
to,2
the,2
North,2
of,2
"England,",2
you,1
would,1
come,1
to,1
a,1
valley,1
that,1
is,1
surrounded,1
by,1
moors,1
as,1
high,1
as,1
mountains.,0
It,1
is,1
in,1
this,1
valley,1
where,1
you,1
would,1
find,2
the,2
city,2
of,2
"Bradford,",2
where,1
once,1
a,2
thousand,2
spinning,2
jennies,2
that,2
hummed,3
and,2
clattered,1
spun,3
wool,2
into,2
money,1
for,1
the,1
long-bearded,1
mill,1
owners.,0
That,1
all,2
mill,2
owners,1
were,1
generally,1
busy,4
as,4
beavers,3
and,2
quite,2
pleased,3
with,3
themselves,2
for,2
being,2
so,2
successful,3
and,2
well,2
off,1
was,1
known,3
to,3
the,3
residents,3
of,3
"Bradford,",4
and,1
if,2
you,2
were,2
to,2
go,3
into,3
the,3
city,2
to,2
visit,2
the,2
stately,2
City,2
"Hall,",2
you,1
would,1
see,2
there,1
the,1
Crest,1
of,1
the,1
City,1
of,1
"Bradford,",0
which,1
those,2
same,2
mill,2
owners,1
created,1
to,1
celebrate,1
their,1
achievements.,0
It,1
shows,3
a,3
sinister,4
looking,3
boar's,7
head,3
sitting,3
on,3
top,3
of,3
a,3
well,2
which,3
seems,3
puzzling,3
at,3
"first,",4
but,1
the,2
reason,2
for,2
this,2
symbol,1
is,1
a,1
matter,1
of,1
legend.,0
There,1
was,3
"once,",4
legend,2
has,2
"it,",2
a,1
fearsome,1
"boar,",2
which,1
lived,1
in,1
a,1
wood,1
located,2
just,1
outside,1
the,1
manor,1
of,1
Bradford.,0
A,1
source,2
of,2
great,2
trouble,2
to,2
the,2
local,2
folk,1
the,2
boar,1
"was,",0
bringing,4
terror,3
to,3
the,3
peaceful,3
flocks,2
and,1
ravaging,2
the,2
countryside,1
around.,0
Even,1
"worse,",2
"however,",2
the,2
boar,1
most,1
liked,1
to,1
go,3
to,3
the,3
well,3
that,3
was,3
in,3
the,3
wood,2
and,1
drink,1
its,1
fresh,1
"water,",0
so,2
that,1
the,2
people,2
of,2
Bradford,1
had,1
second,1
thoughts,1
about,1
visiting,1
the,1
well.,0
That,1
the,2
people,2
of,2
Bradford,1
bore,2
the,2
brunt,2
of,2
the,3
beast's,5
ferocity,1
was,1
unfair,1
in,1
the,1
eyes,1
of,1
the,1
people,1
of,1
the,1
region.,0
"Eventually,",2
the,2
issue,1
reached,1
the,1
ears,1
of,1
the,1
kindly,1
Lord,2
of,2
the,2
Manor,1
who,1
the,2
people,1
had,1
often,1
asked,1
for,1
help.,0
The,1
Lord,1
saw,3
the,3
severity,3
of,3
the,3
problem,3
the,4
people,3
faced,2
and,1
suggested,1
a,2
contest,1
could,1
solve,1
