sent_id,word_pos,word,stor
1,1,Unveiling,0.0
1,2,a,55.782393945395086
1,3,car,88.07963508846503
1,4,with,90.45642156477697
1,5,a,119.43936440515162
1,6,top,85.26377965622274
1,7,speed,80.28452178207353
1,8,of,60.775970063159235
1,9,"25mph,",104.16266199290887
1,10,two,117.77056755679163
1,11,seats,117.13590324798298
1,12,and,122.70213120220357
1,13,no,128.19551728051243
1,14,pedals,97.97230022759194
1,15,or,64.0666260398274
1,16,steering,59.42097804803005
1,17,wheel,46.30605989293226
1,18,might,45.0540455856949
1,19,not,33.67502825469243
1,20,make,24.534620701637515
1,21,much,23.452153276476626
1,22,of,33.128604847384125
1,23,an,24.884978517878835
1,24,impression,22.867841021666134
1,25,at,29.84877533444705
1,26,a,22.991859175743066
1,27,motor,17.48081115905951
1,28,show.,15.033838887413342
2,1,But,0.0
2,2,"Google,",94.33859832545402
2,3,in,194.74962612891
2,4,the,221.1269753984036
2,5,"US,",277.9079872939642
2,6,sent,201.1896994800084
2,7,a,101.84060331980653
2,8,minor,90.41070341669811
2,9,earthquake,82.33899247671576
2,10,through,165.18657789597316
2,11,the,157.83783764869412
2,12,car,163.01632882473538
2,13,and,103.29670784798327
2,14,taxi,83.15635249368344
2,15,industries,76.14447234288363
2,16,as,123.59169116983865
2,17,it,90.50801911175823
2,18,unveiled,70.56703937499401
2,19,the,41.93721079742293
2,20,latest,69.90077637127486
2,21,version,29.283826724535277
2,22,of,26.789428515071762
2,23,its,15.354059883446142
2,24,driverless,14.67900670670549
2,25,car.,4.705907994527626
3,1,The,0.0
3,2,electrically,40.083113133699975
3,3,powered,99.9561433229523
3,4,"vehicle,",63.46163669249018
3,5,which,39.414820541220166
3,6,Google,93.68152416128997
3,7,has,146.17340018908988
3,8,begun,114.48645530501048
3,9,testing,113.5264502116861
3,10,around,128.88077819727434
3,11,its,139.76090907157158
3,12,headquarters,93.8237895859449
3,13,in,83.82523696445621
3,14,Mountain,76.82372074617135
3,15,"View,",78.75103421908469
3,16,"California,",76.54046746998344
3,17,dispenses,51.78409428387716
3,18,with,41.91827333628196
3,19,all,36.11231895850418
3,20,the,48.829322058179244
3,21,normal,73.68009437156098
3,22,"controls,",32.7224453951335
3,23,including,27.730027499906043
3,24,foot,17.712510886265267
3,25,pedals.,12.061387564712271
4,1,"Instead,",0.0
4,2,it,32.85528219342234
4,3,has,95.54646687899368
4,4,a,180.3668738854309
4,5,smartphone,144.33136005703625
4,6,app,142.23008978740654
4,7,that,96.94477263875135
4,8,summons,85.54417277493548
4,9,it,98.64168164223437
4,10,and,91.28686146428205
4,11,tells,126.13803190198323
4,12,it,86.09094896165637
4,13,the,99.01193328826581
4,14,"destination,",114.07290874645084
4,15,and,165.88259168401495
4,16,a,140.29842519642204
4,17,single,124.9247398755486
4,18,STOP,106.16681503545757
4,19,button,93.69543497800501
4,20,mounted,62.11681405450217
