word,dlt_stor
Unveiling,3
a,3
car,2
with,2
a,2
top,2
speed,2
of,2
"25mph,",4
two,2
seats,1
and,1
no,2
pedals,2
or,2
steering,2
wheel,1
might,1
not,1
make,1
much,1
of,1
an,1
impression,1
at,1
a,1
motor,1
show.,0
But,1
"Google,",2
in,2
the,2
"US,",2
sent,3
a,3
minor,3
earthquake,2
through,2
the,2
car,2
and,2
taxi,2
industries,1
as,1
it,1
unveiled,1
the,1
latest,1
version,1
of,1
its,1
driverless,1
car.,0
The,1
electrically,2
powered,1
"vehicle,",4
which,2
Google,2
has,2
begun,2
testing,2
around,2
its,2
headquarters,2
in,2
Mountain,2
"View,",4
"California,",2
dispenses,1
with,1
all,1
the,1
normal,1
"controls,",2
including,1
foot,1
pedals.,0
"Instead,",2
it,1
has,1
a,1
smartphone,1
app,2
that,2
summons,3
it,2
and,2
tells,3
it,2
the,2
"destination,",2
and,1
a,1
single,1
STOP,1
button,1
mounted,2
between,2
the,2
two,2
front-facing,8
seats,1
in,2
case,1
the,2
occupants,1
need,1
to,1
override,1
the,1
computer.,0
The,1
"car,",2
in,2
"fact,",2
takes,2
over,1
all,1
the,1
tasks,1
of,1
"navigation,",6
"steering,",4
acceleration,1
and,1
braking.,0
The,1
company,1
is,1
building,2
about,3
100,2
prototypes,1
for,1
a,1
two-year,5
test.,0
The,1
company's,3
"co-founder,",4
Sergey,2
"Brin,",2
told,2
a,2
conference,2
in,2
California,1
that,1
the,2
vehicle,1
was,1
“still,2
in,1
the,1
prototype,1
stage”,2
but,1
that,1
the,2
project,1
was,1
“about,2
changing,2
the,2
world,1
for,1
people,1
who,1
are,1
not,1
well,1
served,2
by,2
transportation,1
today.”,0
He,1
said,2
of,2
the,2
car:,2
“You're,3
just,1
sitting,2
there;,2
no,1
steering,1
"wheel,",2
no,1
pedals.,0
For,1
"me,",2
it,1
was,1
very,1
relaxing.,0
About,1
ten,1
seconds,2
after,2
getting,2
"in,",2
I,1
forgot,1
I,1
was,1
there.,0
It,1
reminded,2
me,1
of,1
catching,3
a,3
chairlift,2
by,2
yourself,1
–,1
a,1
bit,1
of,1
solitude,1
I,1
found,1
really,1
enjoyable.”,0
Google,1
says,1
that,1
the,2
principal,2
aim,2
of,2
the,2
project,1
is,1
to,1
improve,3
safety,2
and,2
"that,",4
because,2
the,3
car,2
is,2
constructed,2
with,2
impact-absorbing,8
foam,2
at,2
the,2
front,2
and,2
a,2
plastic,2
"windscreen,",2
“it,2
should,1
be,1
far,1
safer,1
than,1
any,1
other,1
car,1
for,1
pedestrians”.,0
The,1
"cars,",4
which,2
have,2
been,2
built,4
specially,3
by,3
a,3
company,3
(as,6
yet,3
unnamed),4
in,2
"Detroit,",2
will,1
be,1
used,1
to,1
investigate,1
further,1
how,1
best,1
to,1
