item,condition,word_position,word,region,stor
1,SR,1,The,THE,0.0
1,SR,2,actor,N1,22.228754872295603
1,SR,3,who,WHO,18.154812640392304
1,SR,4,called,V2,37.21260978418941
1,SR,5,the,THE,24.741543681066
1,SR,6,doctor,N2,23.260535549096375
1,SR,7,praised,V1,11.178180935826092
1,SR,8,the,THE,7.306868047793934
1,SR,9,reporter,N3,0.46645591874589964
1,OR,1,The,THE,0.0
1,OR,2,actor,N1,22.228754872295603
1,OR,3,who,WHO,18.154812640392304
1,OR,4,the,THE,37.21260978418941
1,OR,5,doctor,N2,36.06508796503701
1,OR,6,called,V2,39.612339993000674
1,OR,7,praised,V1,15.22044697313685
1,OR,8,the,THE,4.4877021913731445
1,OR,9,reporter,N3,0.6700307049094335
2,SR,1,The,THE,0.0
2,SR,2,student,N1,22.228754872295603
2,SR,3,who,WHO,31.401376635419535
2,SR,4,avoided,V2,17.611549887245896
2,SR,5,the,THE,21.95267869010217
2,SR,6,lawyer,N2,18.7141588670821
2,SR,7,attacked,V1,13.954370568945185
2,SR,8,the,THE,3.060401673620743
2,SR,9,dancer,N3,0.6787411008223809
2,OR,1,The,THE,0.0
2,OR,2,student,N1,22.228754872295603
2,OR,3,who,WHO,31.401376635419535
2,OR,4,the,THE,17.611549887245896
2,OR,5,lawyer,N2,28.611234071333776
2,OR,6,avoided,V2,24.294043791625068
2,OR,7,attacked,V1,17.26027631175885
2,OR,8,the,THE,3.1976455152454117
2,OR,9,dancer,N3,0.42774444757343116
3,SR,1,The,THE,0.0
3,SR,2,dancer,N1,22.228754872295603
3,SR,3,who,WHO,27.55288439674048
3,SR,4,warned,V2,18.08928484265646
3,SR,5,the,THE,12.816661886370532
3,SR,6,guard,N2,14.770190244798249
3,SR,7,questioned,V1,19.274844408665494
3,SR,8,the,THE,2.894859169078047
3,SR,9,president,N3,0.502568213932505
3,OR,1,The,THE,0.0
3,OR,2,dancer,N1,22.228754872295603
3,OR,3,who,WHO,27.55288439674048
3,OR,4,the,THE,18.08928484265646
3,OR,5,guard,N2,29.630424113243194
3,OR,6,warned,V2,29.481982146660847
3,OR,7,questioned,V1,31.339277483811294
3,OR,8,the,THE,5.042045079973439
3,OR,9,president,N3,0.6548114556073539
4,SR,1,The,THE,0.0
4,SR,2,senator,N1,22.228754872295603
4,SR,3,who,WHO,36.53177320711229
4,SR,4,trusted,V2,20.584851996700063
4,SR,5,the,THE,14.762135996288706
4,SR,6,reporter,N2,15.477616844546954
4,SR,7,visited,V1,16.960599380344146
4,SR,8,the,THE,5.436801980357165
4,SR,9,president,N3,3.5236361603924884
4,OR,1,The,THE,0.0
4,OR,2,senator,N1,22.228754872295603
4,OR,3,who,WHO,36.53177320711229
4,OR,4,the,THE,20.584851996700063
4,OR,5,reporter,N2,39.56919001885149
4,OR,6,trusted,V2,37.44678256548276
4,OR,7,visited,V1,44.334259044283144
4,OR,8,the,THE,9.153252120330269
4,OR,9,president,N3,6.472385749824902
5,SR,1,The,THE,0.0
5,SR,2,nurse,N1,22.228754872295603
5,SR,3,who,WHO,23.36537926875006
5,SR,4,visited,V2,17.830702735708797
5,SR,5,the,THE,19.40225371396491
5,SR,6,thief,N2,20.57707373734949
5,SR,7,stopped,V1,10.122955842033678
5,SR,8,the,THE,7.436837046128551
5,SR,9,reporter,N3,0.7224972355503189
5,OR,1,The,THE,0.0
5,OR,2,nurse,N1,22.228754872295603
5,OR,3,who,WHO,23.36537926875006
5,OR,4,the,THE,17.830702735708797
5,OR,5,thief,N2,36.7471163818846
5,OR,6,visited,V2,27.790178319181695
5,OR,7,stopped,V1,13.801053173682686
5,OR,8,the,THE,7.693602809366477
5,OR,9,reporter,N3,1.2900678435793163
6,SR,1,The,THE,0.0
6,SR,2,singer,N1,22.228754872295603
6,SR,3,who,WHO,18.725843884329674
6,SR,4,visited,V2,23.46320558030059
6,SR,5,the,THE,17.459447914874875
6,SR,6,actor,N2,13.37333309490881
6,SR,7,warned,V1,16.093187983422123
6,SR,8,the,THE,4.416886364469778
6,SR,9,guard,N3,3.8290958848299246
6,OR,1,The,THE,0.0
6,OR,2,singer,N1,22.228754872295603
6,OR,3,who,WHO,18.725843884329674
6,OR,4,the,THE,23.46320558030059
6,OR,5,actor,N2,32.62103941519008
6,OR,6,visited,V2,43.52263080060992
6,OR,7,warned,V1,14.078995625611952
6,OR,8,the,THE,4.782837128159286
6,OR,9,guard,N3,1.67942408362619
7,SR,1,The,THE,0.0
7,SR,2,baker,N1,22.228754872295603
7,SR,3,who,WHO,39.96342696731153
7,SR,4,watched,V2,27.653191901995008
7,SR,5,the,THE,14.045965325617844
7,SR,6,judge,N2,16.870612983924524
7,SR,7,noticed,V1,17.192441194779033
7,SR,8,the,THE,2.9755358711809228
7,SR,9,teacher,N3,0.25029509856282733
7,OR,1,The,THE,0.0
7,OR,2,baker,N1,22.228754872295603
7,OR,3,who,WHO,39.96342696731153
7,OR,4,the,THE,27.653191901995008
7,OR,5,judge,N2,28.716125516173072
7,OR,6,watched,V2,31.747752273996994
7,OR,7,noticed,V1,22.676924849139958
7,OR,8,the,THE,7.299037946423042
7,OR,9,teacher,N3,0.4521972381478045
8,SR,1,The,THE,0.0
8,SR,2,reporter,N1,22.228754872295603
8,SR,3,who,WHO,24.22789909212058
8,SR,4,helped,V2,19.51824362922101
8,SR,5,the,THE,11.39138456043035
8,SR,6,artist,N2,14.028897251398266
8,SR,7,warned,V1,15.294766953941426
8,SR,8,the,THE,3.1971962293806353
8,SR,9,singer,N3,4.514908714072652
8,OR,1,The,THE,0.0
8,OR,2,reporter,N1,22.228754872295603
8,OR,3,who,WHO,24.22789909212058
8,OR,4,the,THE,19.51824362922101
8,OR,5,artist,N2,41.38993534506659
8,OR,6,helped,V2,37.627802990639736
8,OR,7,warned,V1,32.23143619529223
8,OR,8,the,THE,7.970242651261964
8,OR,9,singer,N3,2.0258184656253646
9,SR,1,The,THE,0.0
9,SR,2,teacher,N1,22.228754872295603
9,SR,3,who,WHO,27.33150764061927
9,SR,4,helped,V2,18.846629019857133
9,SR,5,the,THE,9.101953145979824
9,SR,6,lawyer,N2,13.097743967582625
9,SR,7,noticed,V1,11.710154715523121
9,SR,8,the,THE,4.051183718000886
9,SR,9,banker,N3,0.3399827646448885
9,OR,1,The,THE,0.0
9,OR,2,teacher,N1,22.228754872295603
9,OR,3,who,WHO,27.33150764061927
9,OR,4,the,THE,18.846629019857133
9,OR,5,lawyer,N2,31.553928686387863
9,OR,6,helped,V2,31.18844332454677
9,OR,7,noticed,V1,25.25475478773992
9,OR,8,the,THE,7.4576084335180735
9,OR,9,banker,N3,0.5169928341914537
10,SR,1,The,THE,0.0
10,SR,2,doctor,N1,22.228754872295603
10,SR,3,who,WHO,25.2068470425416
10,SR,4,helped,V2,40.72917043321504
10,SR,5,the,THE,13.463027873246062
10,SR,6,president,N2,20.419669324874054
10,SR,7,attacked,V1,23.16336614677865
10,SR,8,the,THE,2.7832901961775542
10,SR,9,chef,N3,0.8875311165187509
10,OR,1,The,THE,0.0
10,OR,2,doctor,N1,22.228754872295603
10,OR,3,who,WHO,25.2068470425416
10,OR,4,the,THE,40.72917043321504
10,OR,5,president,N2,37.260077167810195
10,OR,6,helped,V2,31.820068699914682
10,OR,7,attacked,V1,42.090179648345625
10,OR,8,the,THE,6.8266579718167275
10,OR,9,chef,N3,0.5863398338598256
11,SR,1,The,THE,0.0
11,SR,2,neighbor,N1,22.228754872295603
11,SR,3,who,WHO,13.31424828322224
11,SR,4,met,V2,12.085783603363186
11,SR,5,the,THE,11.830959661302176
11,SR,6,thief,N2,12.786462936757578
11,SR,7,noticed,V1,8.486309000469365
11,SR,8,the,THE,4.361646075130235
11,SR,9,teacher,N3,0.4952208231874044
11,OR,1,The,THE,0.0
11,OR,2,neighbor,N1,22.228754872295603
11,OR,3,who,WHO,13.31424828322224
11,OR,4,the,THE,12.085783603363186
11,OR,5,thief,N2,33.152534771399154
11,OR,6,met,V2,24.688167575500845
11,OR,7,noticed,V1,13.213777781410359
11,OR,8,the,THE,6.646794236132347
11,OR,9,teacher,N3,0.5870555436922344
12,SR,1,The,THE,0.0
12,SR,2,dancer,N1,22.228754872295603
12,SR,3,who,WHO,27.55288439674048
12,SR,4,warned,V2,18.08928484265646
12,SR,5,the,THE,12.816661886370532
12,SR,6,baker,N2,14.770190244798249
12,SR,7,attacked,V1,26.399854876189863
12,SR,8,the,THE,3.6603559641619055
12,SR,9,guard,N3,0.7046103771227544
12,OR,1,The,THE,0.0
12,OR,2,dancer,N1,22.228754872295603
12,OR,3,who,WHO,27.55288439674048
12,OR,4,the,THE,18.08928484265646
12,OR,5,baker,N2,29.630424113243194
12,OR,6,warned,V2,25.201216330552352
12,OR,7,attacked,V1,38.165775686432596
12,OR,8,the,THE,5.5494302756929965
12,OR,9,guard,N3,0.2967056157075553
13,SR,1,The,THE,0.0
13,SR,2,president,N1,22.228754872295603
13,SR,3,who,WHO,35.80255025711949
13,SR,4,avoided,V2,27.009088325393748
13,SR,5,the,THE,18.907639865250715
13,SR,6,guard,N2,18.921451275993554
13,SR,7,watched,V1,20.233936532087778
13,SR,8,the,THE,4.232301436968129
13,SR,9,soldier,N3,0.43039533873401115
13,OR,1,The,THE,0.0
13,OR,2,president,N1,22.228754872295603
13,OR,3,who,WHO,35.80255025711949
13,OR,4,the,THE,27.009088325393748
13,OR,5,guard,N2,34.2258938878812
13,OR,6,avoided,V2,26.93995104177292
13,OR,7,watched,V1,20.184447083947305
13,OR,8,the,THE,3.0975260501781583
13,OR,9,soldier,N3,0.277867846392768
14,SR,1,The,THE,0.0
14,SR,2,thief,N1,22.228754872295603
14,SR,3,who,WHO,23.728846371187615
14,SR,4,praised,V2,16.03524978006886
14,SR,5,the,THE,16.398191131542724
14,SR,6,neighbor,N2,16.29542822998183
14,SR,7,visited,V1,15.913500681783312
14,SR,8,the,THE,4.4134579044327795
14,SR,9,judge,N3,0.9452750802476269
14,OR,1,The,THE,0.0
14,OR,2,thief,N1,22.228754872295603
14,OR,3,who,WHO,23.728846371187615
14,OR,4,the,THE,16.03524978006886
14,OR,5,neighbor,N2,31.088541053413337
14,OR,6,praised,V2,23.241356559820108
14,OR,7,visited,V1,20.924982644255056
14,OR,8,the,THE,6.003961376188432
14,OR,9,judge,N3,1.2081970175613796
15,SR,1,The,THE,0.0
15,SR,2,president,N1,22.228754872295603
15,SR,3,who,WHO,35.80255025711949
15,SR,4,noticed,V2,27.009088325393748
15,SR,5,the,THE,27.971243717801872
15,SR,6,senator,N2,31.420458239519753
15,SR,7,visited,V1,18.764614943711752
15,SR,8,the,THE,6.41994361485586
15,SR,9,writer,N3,1.6861840578860638
15,OR,1,The,THE,0.0
15,OR,2,president,N1,22.228754872295603
15,OR,3,who,WHO,35.80255025711949
15,OR,4,the,THE,27.009088325393748
15,OR,5,senator,N2,34.2258938878812
15,OR,6,noticed,V2,34.65965623312783
15,OR,7,visited,V1,23.225419142542965
15,OR,8,the,THE,4.230285124461944
15,OR,9,writer,N3,1.30378178785743
16,SR,1,The,THE,0.0
16,SR,2,soldier,N1,22.228754872295603
16,SR,3,who,WHO,25.51798360793992
16,SR,4,attacked,V2,18.223085539209894
16,SR,5,the,THE,12.066540894514773
16,SR,6,president,N2,16.957021238297283
16,SR,7,watched,V1,9.990261187405777
16,SR,8,the,THE,7.380099246744331
16,SR,9,student,N3,0.801396176168575
16,OR,1,The,THE,0.0
16,OR,2,soldier,N1,22.228754872295603
16,OR,3,who,WHO,25.51798360793992
16,OR,4,the,THE,18.223085539209894
16,OR,5,president,N2,34.65695894322303
16,OR,6,attacked,V2,39.55244088645793
16,OR,7,watched,V1,18.84652669017987
16,OR,8,the,THE,4.871808963987492
16,OR,9,student,N3,0.66497092795864
17,SR,1,The,THE,0.0
17,SR,2,chef,N1,22.228754872295603
17,SR,3,who,WHO,24.35635499784182
17,SR,4,watched,V2,25.697025802655347
17,SR,5,the,THE,14.022764350068499
17,SR,6,teacher,N2,15.894880399646203
17,SR,7,avoided,V1,15.075935971009613
17,SR,8,the,THE,2.5206372477914374
17,SR,9,baker,N3,0.4328822331002464
17,OR,1,The,THE,0.0
17,OR,2,chef,N1,22.228754872295603
17,OR,3,who,WHO,24.35635499784182
17,OR,4,the,THE,25.697025802655347
17,OR,5,teacher,N2,35.79034894795404
17,OR,6,watched,V2,33.564094629371695
17,OR,7,avoided,V1,18.68845438307981
17,OR,8,the,THE,6.554936685938326
17,OR,9,baker,N3,0.5055001652629684
18,SR,1,The,THE,0.0
18,SR,2,neighbor,N1,22.228754872295603
18,SR,3,who,WHO,13.31424828322224
18,SR,4,called,V2,12.085783603363186
18,SR,5,the,THE,21.52632862512507
18,SR,6,artist,N2,25.214662106179457
18,SR,7,avoided,V1,9.787699612760765
18,SR,8,the,THE,6.2721354688354385
18,SR,9,banker,N3,0.5901953772044584
18,OR,1,The,THE,0.0
18,OR,2,neighbor,N1,22.228754872295603
18,OR,3,who,WHO,13.31424828322224
18,OR,4,the,THE,12.085783603363186
18,OR,5,artist,N2,33.152534771399154
18,OR,6,called,V2,34.57597687047198
18,OR,7,avoided,V1,15.1296124442745
18,OR,8,the,THE,9.44633949885596
18,OR,9,banker,N3,0.6500164892791299
19,SR,1,The,THE,0.0
19,SR,2,singer,N1,22.228754872295603
19,SR,3,who,WHO,18.725843884329674
19,SR,4,questioned,V2,23.46320558030059
19,SR,5,the,THE,21.56784171139901
19,SR,6,writer,N2,24.654015948623112
19,SR,7,attacked,V1,16.332357978610275
19,SR,8,the,THE,4.435359047199435
19,SR,9,actor,N3,0.3147808821368508
19,OR,1,The,THE,0.0
19,OR,2,singer,N1,22.228754872295603
19,OR,3,who,WHO,18.725843884329674
19,OR,4,the,THE,23.46320558030059
19,OR,5,writer,N2,32.62103941519008
19,OR,6,questioned,V2,30.468306518968703
19,OR,7,attacked,V1,21.58595367731366
19,OR,8,the,THE,3.970856676109625
19,OR,9,actor,N3,0.46196188099246865
20,SR,1,The,THE,0.0
20,SR,2,actor,N1,22.228754872295603
20,SR,3,who,WHO,18.154812640392304
20,SR,4,visited,V2,37.21260978418941
20,SR,5,the,THE,21.925682229430937
20,SR,6,artist,N2,15.489486571161553
20,SR,7,praised,V1,15.30708069676489
20,SR,8,the,THE,6.489505737276366
20,SR,9,guard,N3,0.5726857227490314
20,OR,1,The,THE,0.0
20,OR,2,actor,N1,22.228754872295603
20,OR,3,who,WHO,18.154812640392304
20,OR,4,the,THE,37.21260978418941
20,OR,5,artist,N2,36.06508796503701
20,OR,6,visited,V2,31.094060062670856
20,OR,7,praised,V1,17.86512209657826
20,OR,8,the,THE,6.426908638118455
20,OR,9,guard,N3,0.3569449382588541
21,SR,1,The,THE,0.0
21,SR,2,artist,N1,22.228754872295603
21,SR,3,who,WHO,17.35856633153177
21,SR,4,avoided,V2,27.934719848229463
21,SR,5,the,THE,15.353312256052238
21,SR,6,baker,N2,11.909890582967709
21,SR,7,called,V1,17.31450790202506
21,SR,8,the,THE,12.974531748392696
21,SR,9,chef,N3,6.701717415664182
21,OR,1,The,THE,0.0
21,OR,2,artist,N1,22.228754872295603
21,OR,3,who,WHO,17.35856633153177
21,OR,4,the,THE,27.934719848229463
21,OR,5,baker,N2,33.48556588913521
21,OR,6,avoided,V2,41.906992241787776
21,OR,7,called,V1,17.61128378708935
21,OR,8,the,THE,6.606097517911692
21,OR,9,chef,N3,8.038428857387373
22,SR,1,The,THE,0.0
22,SR,2,singer,N1,22.228754872295603
22,SR,3,who,WHO,18.725843884329674
22,SR,4,helped,V2,23.46320558030059
22,SR,5,the,THE,11.489175443554801
22,SR,6,guard,N2,13.49931580411932
22,SR,7,avoided,V1,20.583015780932463
22,SR,8,the,THE,7.212470207701126
22,SR,9,student,N3,0.825679046876185
22,OR,1,The,THE,0.0
22,OR,2,singer,N1,22.228754872295603
22,OR,3,who,WHO,18.725843884329674
22,OR,4,the,THE,23.46320558030059
22,OR,5,guard,N2,32.62103941519008
22,OR,6,helped,V2,36.16546770300489
22,OR,7,avoided,V1,33.62896197073256
22,OR,8,the,THE,7.859448587175175
22,OR,9,student,N3,0.6451125057685723
23,SR,1,The,THE,0.0
23,SR,2,senator,N1,22.228754872295603
23,SR,3,who,WHO,36.53177320711229
23,SR,4,called,V2,20.584851996700063
23,SR,5,the,THE,20.26905693723782
