"predictor","term","mean_coef","mean_dll","lower_ci","upper_ci","p_value","sig"
"bert","(Intercept)",896.225144764153,0.00286745248092908,0.00122725037147365,0.0045076545903845,2e-04,"***"
"bert","bertstor",28.3428802288477,0.00286745248092908,0.00122725037147365,0.0045076545903845,2e-04,"***"
"bert","bertstor_so1",-11.9600070666455,0.00286745248092908,0.00122725037147365,0.0045076545903845,2e-04,"***"
"bert","position",13.5401657346512,0.00286745248092908,0.00122725037147365,0.0045076545903845,2e-04,"***"
"bert","surp",143.783912589542,0.00286745248092908,0.00122725037147365,0.0045076545903845,2e-04,"***"
"bert","surp_so1",19.7678883285414,0.00286745248092908,0.00122725037147365,0.0045076545903845,2e-04,"***"
"bert","unisurp",1.28728483377552,0.00286745248092908,0.00122725037147365,0.0045076545903845,2e-04,"***"
"bert","unisurp_so1",17.2687738438339,0.00286745248092908,0.00122725037147365,0.0045076545903845,2e-04,"***"
"bert","wlen",34.6561739294186,0.00286745248092908,0.00122725037147365,0.0045076545903845,2e-04,"***"
"bert","wlen_so1",-3.93699170690604,0.00286745248092908,0.00122725037147365,0.0045076545903845,2e-04,"***"
"bert","zone",-38.4333003725348,0.00286745248092908,0.00122725037147365,0.0045076545903845,2e-04,"***"
