"predictor","term","mean_coef","mean_dll","lower_ci","upper_ci","p_value","sig"
"roberta","(Intercept)",260.184603255023,0.00103719958877091,0.000537365235897381,0.00153703394164443,5e-05,"***"
"roberta","position",21.5636321868032,0.00103719958877091,0.000537365235897381,0.00153703394164443,5e-05,"***"
"roberta","robertastor",-5.44553485246612,0.00103719958877091,0.000537365235897381,0.00153703394164443,5e-05,"***"
"roberta","robertastor_so1",-6.07254931432972,0.00103719958877091,0.000537365235897381,0.00153703394164443,5e-05,"***"
"roberta","surp",9.13225693020485,0.00103719958877091,0.000537365235897381,0.00153703394164443,5e-05,"***"
"roberta","surp_so1",10.7364549426108,0.00103719958877091,0.000537365235897381,0.00153703394164443,5e-05,"***"
"roberta","unisurp",18.0342776605318,0.00103719958877091,0.000537365235897381,0.00153703394164443,5e-05,"***"
"roberta","unisurp_so1",2.19988080458799,0.00103719958877091,0.000537365235897381,0.00153703394164443,5e-05,"***"
"roberta","wlen",57.6787637960374,0.00103719958877091,0.000537365235897381,0.00153703394164443,5e-05,"***"
"roberta","wlen_so1",-15.6198666371532,0.00103719958877091,0.000537365235897381,0.00153703394164443,5e-05,"***"
"roberta","zone",13.1561075150634,0.00103719958877091,0.000537365235897381,0.00153703394164443,5e-05,"***"
